eta,Algorithme,Nombre de points P,Dimension N,Avg_nbIter,Avg_R,Temps_execution_s
0.8,online,1000,2,31.089999999999996,0.9998284604452148,2.5859947160696954e-05
0.8,batch,1000,2,49.0,0.9419290903358761,4.6921828641832153e-05
0.8,online,1000,10,48.93833333333334,0.9958874847702204,9.544746037026476e-05
0.8,batch,1000,10,24.198333333333334,0.9965846940019207,5.084670098760039e-05
0.8,online,1000,100,48.88,0.9867853024418427,0.0007206724120985234
0.8,batch,1000,100,23.038333333333338,0.9861894853814098,0.0003498103211107837
0.8,online,1000,5000,6.423333333333333,0.3022442314638125,0.005613752273950484
0.8,batch,1000,5000,5.873333333333333,0.3185579884152712,0.005598946169012278
0.4,online,10,2,1.6599999999999997,0.8091021809355836,1.9037790156693924e-07
0.4,batch,10,2,2.2083333333333335,0.8775458582080851,1.9623432092851514e-07
0.4,online,10,10,2.1100000000000003,0.6145879665782445,2.503450619298275e-07
0.4,batch,10,10,2.811666666666667,0.6346387030070313,2.6931024737150216e-07
0.4,online,10,100,1.663333333333333,0.1646265871037849,6.478514818382667e-07
0.4,batch,10,100,2.0733333333333333,0.1870986705679916,7.574445683003208e-07
0.4,online,10,5000,1.7566666666666666,0.02385054262754704,2.344220901255921e-05
0.4,batch,10,5000,2.1366666666666663,0.026599316698345993,2.8321559259231077e-05
0.4,online,100,2,7.943333333333333,0.9669390886549486,9.496841974912879e-07
0.4,batch,100,2,8.198333333333332,0.9975805580340523,1.046589753061625e-06
0.4,online,100,10,24.98,0.9270464676122848,5.323907284261543e-06
0.4,batch,100,10,16.366666666666667,0.9233486259781531,3.782712222065455e-06
0.4,online,100,100,5.211666666666667,0.6392918337494758,9.633225555830623e-06
0.4,batch,100,100,5.929999999999999,0.6455689293478452,1.1390067654500865e-05
0.4,online,100,5000,3.3483333333333336,0.0928962179079351,0.0003459941037039468
0.4,batch,100,5000,3.9033333333333333,0.10068155966322448,0.0004190501090123342
0.4,online,500,2,27.314999999999998,0.9992740377314729,1.1383367901133306e-05
0.4,batch,500,2,49.0,0.8196672366203847,2.0910685184630165e-05
0.4,online,500,10,48.25833333333333,0.9903481175051841,4.653377456771624e-05
0.4,batch,500,10,29.398333333333333,0.9796033832794387,3.2663399382799085e-05
0.4,online,500,100,32.95166666666667,0.9507387452770717,0.0002451037949380856
0.4,batch,500,100,17.144999999999996,0.9450577280007197,0.0001388511946909187
0.4,online,500,5000,5.3066666666666675,0.2136670775497754,0.0024705298832098863
0.4,batch,500,5000,5.121666666666666,0.226023451199277,0.0025125612644444186
0.4,online,1000,2,28.821666666666665,0.9981725137423045,2.3816032715595936e-05
0.4,batch,1000,2,49.0,0.9560885239102013,4.0423706666577925e-05
0.4,online,1000,10,48.98166666666667,0.9959475583659334,9.519209358036334e-05
0.4,batch,1000,10,32.985,0.9901114545802229,6.720257740723613e-05
0.4,online,1000,100,48.965,0.9857663296594045,0.0007445225839501671
0.4,batch,1000,100,22.388333333333335,0.9853800730038687,0.00035503083135800457
0.4,online,1000,5000,6.363333333333332,0.3007413552025386,0.005659927242716635
0.4,batch,1000,5000,6.016666666666665,0.31730592265613705,0.005628321640864359
0.08,online,10,2,5.815000000000001,0.44710198317806077,2.1743839506036888e-07
0.08,batch,10,2,6.223333333333333,0.5069991637900926,2.2931543242094326e-07
0.08,online,10,10,3.7850000000000006,0.41022254055971424,2.602023456280154e-07
0.08,batch,10,10,4.175,0.42524396693843164,2.817509876978066e-07
