eta,Algorithme,Nombre de points P,Dimension N,Avg_nbIter,Avg_R,Temps_execution_s
0.4,online,100,5000,3.2,0.09233405701464252,9.249624199932441
0.4,batch,100,5000,4.0,0.09788797129084323,11.176533400081098
0.4,online,500,2,21.25,0.99993894191,0.256492399959825
0.4,batch,500,2,49.0,0.867625262357889,0.5575661000330001
0.4,online,500,10,49.0,0.9675192111193512,1.2845081000123173
0.4,batch,500,10,49.0,0.943842867988986,1.2931720999768004
0.4,online,500,100,35.75,0.953590420805692,7.00661260006018
0.4,batch,500,100,21.5,0.9537270986593119,4.383700000005774
0.4,online,500,5000,5.5,0.21309828495008007,68.33769950002898
0.4,batch,500,5000,4.8,0.22636443333052605,63.21091229992453
0.4,online,1000,2,29.25,0.9996889748737221,0.6615860000019893
0.4,batch,1000,2,49.0,0.9674627966950198,1.1013285999651998
0.4,online,1000,10,49.0,0.9987508052989684,2.6300674999365583
0.4,batch,1000,10,49.0,0.9921752177768683,2.577853100025095
0.4,online,1000,100,48.75,0.9833156927591531,19.49991269991733
0.4,batch,1000,100,16.5,0.981996463166267,6.912743800086901
0.4,online,1000,5000,6.35,0.3086223468259419,144.51719199994113
0.4,batch,1000,5000,5.7,0.3278792381152301,158.90526390005834
0.08,online,10,2,1.8,0.5874440717393575,0.006135999923571944
0.08,batch,10,2,1.65,0.6408658415912204,0.0064332999754697084
0.08,online,10,10,3.2,0.4277042484493565,0.007668999955058098
0.08,batch,10,10,3.3,0.44986538643356777,0.0074908999959006906
0.08,online,10,100,1.85,0.09682495795400728,0.01901609997730702
0.08,batch,10,100,2.45,0.10481353543330647,0.029977000085636973
0.08,online,10,5000,1.3,0.017294602070671645,0.5918507999740541
0.08,batch,10,5000,1.35,0.017481430720694878,0.6466898999642581
0.08,online,100,2,10.0,0.9345358684670713,0.0366065000416711
0.08,batch,100,2,3.85,0.9915764137255847,0.021099200006574392
0.08,online,100,10,13.5,0.9299344183811543,0.09734700003173202
0.08,batch,100,10,9.5,0.9071895281537167,0.0760217000497505
0.08,online,100,100,4.45,0.5975185457233824,0.25163849990349263
0.08,batch,100,100,5.5,0.6342858636787183,0.33095390000380576
0.08,online,100,5000,3.0,0.07071178129618336,9.099157700082287
0.08,batch,100,5000,3.85,0.07829312646653566,12.668216499965638
0.08,online,500,2,17.1,0.9997361831520519,0.3172926999395713
0.08,batch,500,2,49.0,0.8860685937865057,0.7244501999812201
0.08,online,500,10,46.0,0.9740869839040535,1.3116224000696093
0.08,batch,500,10,9.5,0.9540267847744689,0.33236560004297644
0.08,online,500,100,22.95,0.9512819061614908,4.90071010007523
0.08,batch,500,100,11.7,0.9437411302054952,2.7211488999892026
0.08,online,500,5000,4.8,0.201379918901785,64.70629730005749
0.08,batch,500,5000,4.95,0.21271729715201518,67.06476530001964
0.08,online,1000,2,31.25,0.9983251949860014,0.7497552999993786
0.08,batch,1000,2,49.0,0.9845091912657649,1.1536391999106854
0.08,online,1000,10,49.0,0.9864426346037293,2.7880973999854177
0.08,batch,1000,10,49.0,0.9091332721196388,2.8293249000562355
0.08,online,1000,100,49.0,0.9706598411973628,20.63360639999155
0.08,batch,1000,100,22.85,0.9771033467135142,10.971006799954921
0.08,online,1000,5000,7.1,0.2982246349697991,177.78525689989328
0.08,batch,1000,5000,5.75,0.3162832809798978,153.8116696999641
